Smile,Label
O=c1c2ccccc2c(=O)c2c1ccc1c2[nH]c2c3c(=O)c4ccccc4c(=O)c3c3[nH]c4c5c(=O)c6ccccc6c(=O)c5ccc4c3c12,0
CC(=O)OC1(C(=O)C)CCC2C3C=C(Cl)C4=CC(=O)OCC4(C)C3CCC12C,0
Nc1nc(N)nc(N)n1,0
Cc1ccc(N=Nc2c(O)ccc3ccccc23)c([N+](=O)[O-])c1,1
CC(C)CC(=O)Nc1snc2ccccc12,0
Cc1cccc([N+](=O)[O-])c1C,1
CCCCCCC(=O)OC1(C#C)CCC2C3CCC4=CC(=O)CCC4C3CCC12C,0
CCC[N+](=O)[O-],0
OC(=O)c1cc([N+](=O)[O-])cc2cccnc12,1
OC1C=Cc2c(ccc3c(Br)c4ccccc4cc23)C1O,1
NC(=O)Nc1nc2ccccc2[nH]1,1
C[C@@H](O)CCC(=O)c1cocc1,0
Nc1ccc2c(oc3ccccc23)c1,1
Cc1ccc2ccc3ccc(C)cc3c2c1,1
Cc1cc2c(nc(N)n2C)c2ncc(-c3ccccc3)nc12,1
CCN(N=O)/C(=N/O)C=O,1
NNc1nnc(NN)c2ccccc12,1
C=CC(=O)NCNC(=O)C=C,1
OCc1cc2c3c(cccc3c1)-c1c-2cccc1,0
Cc1ccccc1-c1ccccc1,0
CC1C2C3C(C)C4C(=O)C56C(=O)c7c(O)cc(C)cc7C(=O)C35C1C(=O)C61C(=O)c3c(O)cc(C)cc3C(=O)C241,0
Cc1nc(N)nc(N)n1,0
CCNc1nc(N)nc(Cl)n1,0
C1CCC(N2C3C2c2ccccc2-c2ccccc23)CC1,1
CCCCB(CCCC)CCCC,1
CC(=O)NC(CSC(=C(Cl)Cl)Cl)C(=O)O,1
CC(C)[C@@H]1CC[C@H](C)[C@@H]2CC[C@H](C)C[C@@H]12,1
CCNN=NCC,1
Oc1cccc([N+](=O)[O-])c1,1
[O-][N+](=O)c1ccc2c(c1)-c1cccc3cccc-2c13,1
OCc1occc1,0
C(Cc1ccc(-c2ccccc2)cc1)[C@H]1CO1,1
Oc1cc2c3ccccc3ccc2c2ccccc12,1
Oc1ccc2ccccc2c1N=Nc1ccccc1,1
N[C@H]1CC[C@H](C[C@H]2CC[C@H](N)CC2)CC1,0
COC(=O)C12CC1(C=O)C(C=O)=CC1CC(C)(C)CC21,1
CCOC(=O)C(C)Br,1
COC1(OC2CCC3C4CCC5CC6SC6CC5(C)C4CCC23C)CCCC1,0
CCN(CCCl)CCCNc1c2c(nc3ccccc13)CCCC2,1
