Smile,Label
c1(F)ccc([C@H](N2[C@@H]3Cc4c(cc(O)cc4)[C@@](C)([C@@H]3C)CC2)CC)c(Cl)c1,0.23156246542930603
C1c2c(cc(OCCOC)cc2)[C@@]2(C)[C@H](C)[C@@H]1N([C@@H](c1ccc(F)cc1Cl)CC)CC2,0.2568817734718323
[C@@H]1(C)[C@@H]2N([C@@H](c3ccc(F)cc3Cl)CC)CC[C@@]1(C)c1cc(C#N)ccc1C2,0.24505314230918884
[C@@H]12Cc3c(cc(O)cc3)[C@@](C)([C@@H]1C)CCN2[C@@H](c1ccc(F)cc1)CC,0.2310253530740738
[C@H](c1c(Cl)cc(F)cc1)(CC)N1CC[C@]2(C)[C@H](C)[C@H]1Cc1ccc(OC(=O)C)cc12,0.20701642334461212
Clc1c([C@@H](CC)N2[C@@H]3Cc4ccc(N)cc4[C@@](C)([C@@H]3C)CC2)ccc(F)c1,0.5011444687843323
c1(C(=O)NCCO)cc2c(cc1)C[C@H]1N([C@H](CC)c3ccc(F)cc3Cl)CC[C@]2(C)[C@@H]1C,0.18852253258228302
C1[C@]2(C)[C@H](C)[C@H](N([C@H](CC)c3ccc(F)cc3Cl)C1)Cc1ccc(NC)cc12,0.3043641746044159
c1([C@H](N2[C@@H]3Cc4c(cc(OCC#N)cc4)[C@](C)(CC2)[C@@H]3C)CC)c(Cl)cc(F)cc1,0.2079756110906601
C(C)[C@@H](N1[C@H]2[C@@H](C)[C@](C)(c3cc(NCC#N)ccc3C2)CC1)c1c(Cl)cc(F)cc1,0.28534790873527527
[C@@H]12[C@@H](C)[C@@](C)(CCN1[C@@H](c1c(Cl)cc(F)cc1)CC)c1c(ccc(OCCO)c1)C2,0.2041325569152832
C1N([C@H](CC)c2c(Cl)cc(F)cc2)[C@H]2[C@@H](C)[C@](C)(c3cc(OCC(N)=O)ccc3C2)C1,0.18770001828670502
C(c1cc2c(cc1)C[C@@H]1[C@@H](C)[C@@]2(C)CCN1[C@@H](c1ccc(F)cc1Cl)CC)(=O)N1[C@@H](C(OC)=O)CCC1,0.21969060599803925
C1CC[C@@H](C(=O)OC)N1C(c1cc2c(cc1)C[C@@H]1[C@@H](C)[C@@]2(C)CCN1[C@@H](c1ccc(F)cc1Cl)CC)=O,0.21969060599803925
c1c(Cl)c([C@H](N2CC[C@@]3(C)c4c(ccc(OCC(=O)NO)c4)C[C@@H]2[C@H]3C)CC)ccc1F,0.6768820881843567
C([C@@H](N1CC[C@@]2(C)c3cc(NCc4ccc(OC)cc4OC)ccc3C[C@@H]1[C@H]2C)c1ccc(F)cc1Cl)C,0.4045247435569763
c1cc(NC=O)cc2c1C[C@H]1N([C@H](CC)c3ccc(F)cc3Cl)CC[C@]2(C)[C@@H]1C,0.34528547525405884
C(CCC(=O)Nc1ccc2c(c1)[C@]1(C)CCN([C@H](CC)c3c(Cl)cc(F)cc3)[C@@H]([C@H]1C)C2)CCC(=O)OC,0.18066827952861786
[C@]12(C)CCN([C@@H](c3ccc(F)cc3Cl)CC)[C@H](Cc3c1cc(C(=O)N1CCCC[C@H]1C(=O)OC)cc3)[C@H]2C,0.17809568345546722
[C@@]12(C)CCN([C@H](CC)c3c(Cl)cc(F)cc3)[C@@H]([C@H]1C)Cc1ccc(NC(=O)COc3ccc(OC)cc3)cc12,0.2663115859031677
[C@@]12(C)[C@H](C)[C@@H](Cc3c1cc(NC(=O)COc1ccc(C#N)cc1)cc3)N([C@H](CC)c1c(Cl)cc(F)cc1)CC2,0.25435805320739746
Clc1cc(F)ccc1[C@@H](CC)N1[C@@H]2Cc3ccc(C(=O)N4CC4)cc3[C@](C)(CC1)[C@@H]2C,0.23259542882442474
Fc1cc(Cl)c([C@@H](CC)N2[C@@H]3Cc4c(cc(CCCO)cc4)[C@@](C)([C@@H]3C)CC2)cc1,0.18365375697612762
O(CC)C([C@H]1CCCN1C(=O)c1cc2c(cc1)C[C@H]1N([C@H](CC)c3c(Cl)cc(F)cc3)CC[C@]2(C)[C@@H]1C)=O,0.1832248419523239
c1cc([C@@H](CC)N2CC[C@@]3(C)c4c(ccc(CCC(N)=O)c4)C[C@@H]2[C@H]3C)c(Cl)cc1F,0.20343022048473358
[C@@H]1(CO)N(C(=O)c2ccc3c(c2)[C@@]2(C)[C@H](C)[C@@H](C3)N([C@H](CC)c3ccc(F)cc3Cl)CC2)CCC1,0.18418686091899872
c1c(F)ccc([C@@H](CC)N2CC[C@]3(C)[C@H](C)[C@H]2Cc2c3cc(N)cc2)c1Cl,0.4576008915901184
CC[C@@H](N1CC[C@]2(C)[C@H](C)[C@H]1Cc1ccc(C(N3CCC[C@@H]3C(OC(C)C)=O)=O)cc12)c1c(Cl)cc(F)cc1,0.16013085842132568
C1c2c(cc(C(=O)N3CCC[C@@H]3COC)cc2)[C@]2(C)CCN([C@@H](c3ccc(F)cc3Cl)CC)[C@H]1[C@H]2C,0.19775603711605072
CC[C@H](c1c(Cl)cc(F)cc1)N1[C@H]2[C@@H](C)[C@](C)(c3c(ccc(NCc4ccccc4OC)c3)C2)CC1,0.2990492880344391
Clc1c([C@@H](CC)N2[C@@H]3Cc4c(cc(NCc5c(OC)c(OC)ccc5)cc4)[C@](C)(CC2)[C@@H]3C)ccc(F)c1,0.32079750299453735
[C@H](CC)(N1[C@H]2[C@@H](C)[C@@](C)(CC1)c1c(ccc(NCc3cccnc3)c1)C2)c1ccc(F)cc1Cl,0.285231351852417
c1(F)ccc([C@H](N2[C@@H]3Cc4c(cc(NCc5ccncc5)cc4)[C@@](C)([C@@H]3C)CC2)CC)c(Cl)c1,0.3078068494796753
c1(Cl)cc(F)ccc1[C@@H](CC)N1CC[C@@]2(C)c3cc(NCc4ccccn4)ccc3C[C@@H]1[C@H]2C,0.3493472933769226
c12c(ccc(NCc3cncnc3)c1)C[C@@H]1[C@@H](C)[C@@]2(C)CCN1[C@@H](c1ccc(F)cc1Cl)CC,0.27516481280326843
c1(F)cc(Cl)c([C@H](N2[C@@H]3Cc4ccc(NCc5cc(C#N)ccc5)cc4[C@@](C)([C@@H]3C)CC2)CC)cc1,0.3208799362182617
