Smile,Label
c1(F)ccc([C@H](N2[C@@H]3Cc4c(cc(O)cc4)[C@@](C)([C@@H]3C)CC2)CC)c(Cl)c1,0.20901207029819488
C1c2c(cc(OCCOC)cc2)[C@@]2(C)[C@H](C)[C@@H]1N([C@@H](c1ccc(F)cc1Cl)CC)CC2,0.25292910933494567
[C@@H]1(C)[C@@H]2N([C@@H](c3ccc(F)cc3Cl)CC)CC[C@@]1(C)c1cc(C#N)ccc1C2,0.2662191540002823
[C@@H]12Cc3c(cc(O)cc3)[C@@](C)([C@@H]1C)CCN2[C@@H](c1ccc(F)cc1)CC,0.23096845149993897
[C@H](c1c(Cl)cc(F)cc1)(CC)N1CC[C@]2(C)[C@H](C)[C@H]1Cc1ccc(OC(=O)C)cc12,0.21872066855430602
Clc1c([C@@H](CC)N2[C@@H]3Cc4ccc(N)cc4[C@@](C)([C@@H]3C)CC2)ccc(F)c1,0.49156482219696046
c1(C(=O)NCCO)cc2c(cc1)C[C@H]1N([C@H](CC)c3ccc(F)cc3Cl)CC[C@]2(C)[C@@H]1C,0.19715140461921693
C1[C@]2(C)[C@H](C)[C@H](N([C@H](CC)c3ccc(F)cc3Cl)C1)Cc1ccc(NC)cc12,0.2616688936948776
c1([C@H](N2[C@@H]3Cc4c(cc(OCC#N)cc4)[C@](C)(CC2)[C@@H]3C)CC)c(Cl)cc(F)cc1,0.1912224531173706
C(C)[C@@H](N1[C@H]2[C@@H](C)[C@](C)(c3cc(NCC#N)ccc3C2)CC1)c1c(Cl)cc(F)cc1,0.30917802453041077
[C@@H]12[C@@H](C)[C@@](C)(CCN1[C@@H](c1c(Cl)cc(F)cc1)CC)c1c(ccc(OCCO)c1)C2,0.2194560796022415
C1N([C@H](CC)c2c(Cl)cc(F)cc2)[C@H]2[C@@H](C)[C@](C)(c3cc(OCC(N)=O)ccc3C2)C1,0.18033140599727632
C(c1cc2c(cc1)C[C@@H]1[C@@H](C)[C@@]2(C)CCN1[C@@H](c1ccc(F)cc1Cl)CC)(=O)N1[C@@H](C(OC)=O)CCC1,0.21009259521961213
C1CC[C@@H](C(=O)OC)N1C(c1cc2c(cc1)C[C@@H]1[C@@H](C)[C@@]2(C)CCN1[C@@H](c1ccc(F)cc1Cl)CC)=O,0.21009260416030884
