Smile,Label
OC(=O)CNC(c1n[nH]cc1CNc1ccc2c(c1)[C@]1(C)CCN([C@H](CC)c3ccc(F)cc3Cl)[C@H](C2)[C@H]1C)=O,0.33080294728279114
OC(=O)CCNC(c1n[nH]cc1CNc1ccc2c(c1)[C@@]1(C)[C@H](C)[C@H](N([C@@H](c3c(Cl)cc(F)cc3)CC)CC1)C2)=O,0.3890664875507355
C(Nc1ccc2c(c1)[C@@]1(C)[C@H](C)[C@H](N([C@H](CC)c3c(Cl)cc(F)cc3)CC1)C2)c1c[nH]nc1-c1c[nH]nc1,0.443256676197052
c1c([C@H](N2CC[C@@]3(C)c4c(ccc(NCc5c[nH]nc5-c5cnn[nH]5)c4)C[C@@H]2[C@H]3C)CC)c(Cl)cc(F)c1,0.46406376361846924
c1c([C@H](N2[C@H]3[C@@H](C)[C@@](C)(CC2)c2c(ccc(NCc4c(N5C(=O)CCCC5)n[nH]c4)c2)C3)CC)c(Cl)cc(F)c1,0.4119982123374939
c1(Cl)c([C@@H](CC)N2CC[C@]3(C)[C@H](C)[C@H]2Cc2ccc(NCc4c[nH]nc4N4CCCC4=O)cc23)ccc(F)c1,0.39947885274887085
Clc1cc(F)ccc1[C@@H](CC)N1[C@@H]2Cc3c(cc(NCc4c[nH]nc4C(=O)OCC)cc3)[C@@](C)([C@@H]2C)CC1,0.3812651038169861
c1c(Cl)c([C@@H](CC)N2CC[C@@]3(C)c4c(ccc(NCc5c(C(=O)OCC)n(C)nc5)c4)C[C@@H]2[C@H]3C)ccc1F,0.3718837797641754
[C@]12(C)CCN([C@H](CC)c3ccc(F)cc3Cl)[C@H](Cc3ccc(NCc4c(F)nn(C)c4C(=O)OCC)cc31)[C@H]2C,0.3368472754955292
COCCOCCOCCNC(=O)c1c(CNc2ccc3c(c2)[C@@]2(C)[C@H](C)[C@H](N([C@@H](c4c(Cl)cc(F)cc4)CC)CC2)C3)c[nH]n1,0.4840482175350189
n1c(C(=O)OCCOCCOCCOC)c(CNc2ccc3c(c2)[C@]2(C)CCN([C@H](CC)c4c(Cl)cc(F)cc4)[C@H](C3)[C@H]2C)c[nH]1,0.37300965189933777
N(Cc1c(C(C)=O)n[nH]c1)c1ccc2c(c1)[C@@]1(C)[C@H](C)[C@H](N([C@@H](c3ccc(F)cc3Cl)CC)CC1)C2,0.4504087567329407
[C@@H](c1c(Cl)cc(F)cc1)(N1[C@@H]2Cc3ccc(NC(c4c[nH]nc4C(OCC)=O)C)cc3[C@](C)(CC1)[C@@H]2C)CC,0.2591898441314697
Fc1cc(Cl)c([C@@H](CC)N2[C@@H]3Cc4ccc(NCc5c[nH]nc5-c5cnco5)cc4[C@](C)(CC2)[C@@H]3C)cc1,0.40627047419548035
[C@H]12Cc3c(cc(NCc4c[nH]nc4N4CCNC4=O)cc3)[C@](C)(CCN1[C@@H](c1c(Cl)cc(F)cc1)CC)[C@@H]2C,0.4613909423351288
c1cc2c(cc1NCc1c[nH]nc1-c1oncc1)[C@]1(C)CCN([C@@H](c3ccc(F)cc3Cl)CC)[C@@H]([C@H]1C)C2,0.4411073327064514
Fc1cc(Cl)c([C@H](N2CC[C@]3(C)[C@H](C)[C@H]2Cc2ccc(NCc4c[nH]nc4-c4ccns4)cc23)CC)cc1,0.4084645211696625
Fc1cc(Cl)c([C@H](N2[C@@H]3Cc4ccc(NCc5c(-c6cnoc6)n[nH]c5)cc4[C@](C)(CC2)[C@@H]3C)CC)cc1,0.39472696185112
[C@H]1(C)[C@@]2(C)CCN([C@@H](c3c(Cl)cc(F)cc3)CC)[C@@H]1Cc1ccc(NCc3c(C(=O)OCC)c[nH]n3)cc12,0.34899306297302246
c1cc([C@H](N2[C@@H]3Cc4ccc(NCc5cc(C(=O)OCC)[nH]n5)cc4[C@](C)(CC2)[C@@H]3C)CC)c(Cl)cc1F,0.3086588382720947
C1N([C@@H](c2ccc(F)cc2Cl)CC)[C@H]2[C@@H](C)[C@@](C)(C1)c1cc(NCc3n[nH]c4c3ocn4)ccc1C2,0.49090003967285156
O=C1c2c([nH]nc2CNc2ccc3c(c2)[C@]2(C)CCN([C@H](CC)c4ccc(F)cc4Cl)[C@H](C3)[C@H]2C)CN1,0.40014341473579407
c1c(F)ccc([C@H](N2CC[C@@]3(C)c4c(ccc(NCc5c6c([nH]n5)CC(=O)N6)c4)C[C@@H]2[C@H]3C)CC)c1Cl,0.457141250371933
CC[C@@H](N1[C@H]2[C@@H](C)[C@](C)(c3c(ccc(NCc4c(C(NCC(O)=O)=O)c[nH]c4)c3)C2)CC1)c1c(Cl)cc(F)cc1,0.33067283034324646
Clc1cc(F)ccc1[C@H](N1[C@@H]2Cc3ccc(NCc4c(C(=O)NCCC(=O)O)c[nH]c4)cc3[C@](C)(CC1)[C@@H]2C)CC,0.29650750756263733
[C@H](N1CC[C@]2(C)[C@H](C)[C@H]1Cc1ccc(NCc3c[nH]cc3C(=O)NCCCC(=O)O)cc12)(c1ccc(F)cc1Cl)CC,0.30823177099227905
[C@H]12Cc3ccc(NCc4c[nH]cc4C4C=CNC4=O)cc3[C@](C)(CCN1[C@H](CC)c1ccc(F)cc1Cl)[C@@H]2C,0.41156652569770813
c1cc(NCc2c(-c3c[nH]nc3)c[nH]c2)cc2c1C[C@H]1N([C@@H](c3ccc(F)cc3Cl)CC)CC[C@]2(C)[C@@H]1C,0.4383259415626526
N(Cc1c(C)n(C)cc1C)c1cc2c(cc1)C[C@@H]1[C@@H](C)[C@@]2(C)CCN1[C@H](CC)c1c(Cl)cc(F)cc1,0.45670968294143677
c12cc(NCc3c[nH]cc3-c3[nH]nnn3)ccc1C[C@@H]1[C@@H](C)[C@@]2(C)CCN1[C@@H](c1ccc(F)cc1Cl)CC,0.494282066822052
c1c(Cl)c([C@@H](CC)N2CC[C@]3(C)[C@H](C)[C@H]2Cc2ccc(NCc4c(-c5[nH]c(=O)[nH]c5)c[nH]c4)cc23)ccc1F,0.3876363933086395
c1cc([C@@H](CC)N2CC[C@]3(C)[C@H](C)[C@H]2Cc2ccc(NCc4c[nH]cc4N4C(=O)CC4)cc23)c(Cl)cc1F,0.42392969131469727
[C@]12(C)c3cc(NCc4c[nH]cc4N4CCCCC4=O)ccc3C[C@H]([C@H]1C)N([C@H](CC)c1c(Cl)cc(F)cc1)CC2,0.3560476303100586
c1(C(=O)OCC)c[nH]cc1CNc1cc2c(cc1)C[C@H]1N([C@H](CC)c3ccc(F)cc3Cl)CC[C@]2(C)[C@@H]1C,0.2938261926174164
C(C)[C@@H](N1CC[C@]2(C)[C@H](C)[C@H]1Cc1ccc(NCc3ccn(C)c3C(=O)OCC)cc12)c1c(Cl)cc(F)cc1,0.31213605403900146
Clc1cc(F)ccc1[C@H](N1CC[C@@]2(C)c3c(ccc(NCc4c(C(=O)OCC)n(C)cc4F)c3)C[C@@H]1[C@H]2C)CC,0.35700803995132446
c12ccc(NCc3c(-c4c[nH]cn4)c[nH]c3)cc1[C@@]1(C)[C@H](C)[C@H](N([C@@H](c3c(Cl)cc(F)cc3)CC)CC1)C2,0.48763322830200195
C(C)[C@@H](N1CC[C@]2(C)[C@H](C)[C@H]1Cc1c2cc(NCc2c[nH]cc2C(NCCOCCOCCOC)=O)cc1)c1c(Cl)cc(F)cc1,0.41803330183029175
C1c2c(cc(NCc3c(C(OCCOCCOCCOC)=O)c[nH]c3)cc2)[C@@]2(C)[C@H](C)[C@@H]1N([C@@H](c1ccc(F)cc1Cl)CC)CC2,0.3805270493030548
c1(C(C)Nc2cc3c(cc2)C[C@H]2N([C@@H](c4c(Cl)cc(F)cc4)CC)CC[C@]3(C)[C@@H]2C)c(C(=O)OCC)c[nH]c1,0.2521907389163971
c1(Nc2cncc3c[nH]cc32)cc2c(cc1)C[C@H]1N([C@@H](c3ccc(F)cc3Cl)CC)CC[C@]2(C)[C@@H]1C,0.49750328063964844
c1(CNc2cc3c(cc2)C[C@H]2N([C@H](CC)c4c(Cl)cc(F)cc4)CC[C@]3(C)[C@@H]2C)c[nH]c2cccnc12,0.5092276930809021
Clc1cc(F)ccc1[C@H](N1CC[C@@]2(C)c3cc(NCc4c[nH]cc4-c4cnco4)ccc3C[C@@H]1[C@H]2C)CC,0.421552836894989
c1([C@@H](CC)N2CC[C@@]3(C)c4c(ccc(NCc5c(-n6cc[nH]c6=O)c[nH]c5)c4)C[C@@H]2[C@H]3C)ccc(F)cc1Cl,0.4387078285217285
c1(F)ccc([C@@H](CC)N2CC[C@@]3(C)c4cc(NCc5c[nH]cc5-c5cscc5)ccc4C[C@@H]2[C@H]3C)c(Cl)c1,0.48089563846588135
[C@H](N1CC[C@@]2(C)c3cc(NCc4c(-c5cnoc5)c[nH]c4)ccc3C[C@@H]1[C@H]2C)(c1ccc(F)cc1Cl)CC,0.4674273431301117
n1c(C(OCC)=O)c(CNc2ccc3c(c2)[C@]2(C)CCN([C@@H](c4ccc(F)cc4Cl)CC)[C@H](C3)[C@H]2C)cn1CC(=O)OCC,0.3098718523979187
Fc1ccc([C@H](N2[C@@H]3Cc4c(cc(NCc5cnn(CC(OCC)=O)c5)cc4)[C@@](C)([C@@H]3C)CC2)CC)c(Cl)c1,0.3564549386501312
c1(CNc2cc3c(cc2)C[C@@H]2[C@@H](C)[C@@]3(C)CCN2[C@@H](c2ccc(F)cc2Cl)CC)cnn(CC(O)=O)c1,0.35671818256378174
c1(Cl)c([C@H](N2[C@H]3[C@@H](C)[C@@](C)(CC2)c2cc(NCc4cn(CC(O)=O)nc4C(O)=O)ccc2C3)CC)ccc(F)c1,0.28695937991142273
C(C(=O)OCC)n1ncc(CNc2cc3c(cc2)C[C@@H]2[C@@H](C)[C@@]3(C)CCN2[C@@H](c2ccc(F)cc2Cl)CC)c1C(OCC)=O,0.31468725204467773
N1([C@H](CC)c2c(Cl)cc(F)cc2)[C@H]2[C@@H](C)[C@](C)(c3c(ccc(NCc4cnn(CC(=O)O)c4C(=O)OCC)c3)C2)CC1,0.24844039976596832
C(C(=O)O)n1ncc(CNc2cc3c(cc2)C[C@H]2N([C@@H](c4ccc(F)cc4Cl)CC)CC[C@]3(C)[C@@H]2C)c1C(O)=O,0.24018661677837372
C(=O)(c1n(CC(=O)N)ncc1CNc1cc2c(cc1)C[C@H]1N([C@@H](c3ccc(F)cc3Cl)CC)CC[C@]2(C)[C@@H]1C)N,0.4162559509277344
C1[C@@]2(C)c3c(ccc(NCc4cnn(CC(N)=O)c4)c3)C[C@@H](N([C@@H](c3c(Cl)cc(F)cc3)CC)C1)[C@H]2C,0.47700896859169006
Fc1cc(Cl)c([C@@H](CC)N2[C@H]3[C@@H](C)[C@](C)(c4cc(NCc5c(C(OCC)=O)n(CCC(OCC)=O)nc5)ccc4C3)CC2)cc1,0.29814690351486206
[C@]12(C)CCN([C@@H](c3ccc(F)cc3Cl)CC)[C@H](Cc3ccc(NCc4cnn(CCC(OCC)=O)c4)cc31)[C@H]2C,0.3646029233932495
[C@@H]1(C)[C@@H]2N([C@H](CC)c3ccc(F)cc3Cl)CC[C@@]1(C)c1c(ccc(NCc3cn(CCCC(=O)OCC)nc3)c1)C2,0.34511739015579224
n1cc(CNc2ccc3c(c2)[C@]2(C)CCN([C@@H](c4c(Cl)cc(F)cc4)CC)[C@H](C3)[C@H]2C)c(C(OCC)=O)n1CCCC(OCC)=O,0.2712826430797577
C1C[C@@]2(C)c3c(ccc(NCc4c(C(OCC)=O)nn(CCC(OCC)=O)c4)c3)C[C@@H](N1[C@@H](c1ccc(F)cc1Cl)CC)[C@H]2C,0.3756369948387146
C[C@@H]1[C@@H]2N([C@@H](c3c(Cl)cc(F)cc3)CC)CC[C@@]1(C)c1cc(NCc3c(C(=O)OCC)nn(CCCC(OCC)=O)c3)ccc1C2,0.32938826084136963
Fc1ccc([C@@H](CC)N2[C@@H]3Cc4c(cc(NCc5c(C(=O)O)nn(CCCC(O)=O)c5)cc4)[C@@](C)([C@@H]3C)CC2)c(Cl)c1,0.2977953553199768
N1([C@H](CC)c2ccc(F)cc2Cl)[C@H]2[C@@H](C)[C@@](C)(CC1)c1cc(NCc3cnn(CCC(=O)O)c3C(O)=O)ccc1C2,0.27558720111846924
C[C@@]12c3c(ccc(NCc4cnn(CCCC(O)=O)c4)c3)C[C@@H](N([C@@H](c3ccc(F)cc3Cl)CC)CC1)[C@H]2C,0.38695287704467773
[C@@H]1(C)[C@H]2Cc3ccc(NCc4cnn(CCCC(O)=O)c4C(=O)O)cc3[C@]1(C)CCN2[C@H](CC)c1ccc(F)cc1Cl,0.22755594551563263
C(c1cn(CCC(O)=O)nc1C(O)=O)Nc1cc2c(cc1)C[C@@H]1[C@@H](C)[C@@]2(C)CCN1[C@H](CC)c1ccc(F)cc1Cl,0.30195626616477966
c1c(F)cc(Cl)c([C@@H](CC)N2CC[C@@]3(C)c4c(ccc(NCCCC(=O)O)c4)C[C@@H]2[C@H]3C)c1,0.3677544891834259
CC[C@H](c1c(Cl)cc(F)cc1)N1CC[C@@]2(C)c3cc(NCc4ccccc4C(=O)O)ccc3C[C@@H]1[C@H]2C,0.2973186671733856
[C@H](CC)(N1[C@H]2[C@@H](C)[C@](C)(c3c(ccc(NCc4c(C(OCC)=O)nn[nH]4)c3)C2)CC1)c1c(Cl)cc(F)cc1,0.384731262922287
