Smile,Label
c1(F)ccc([C@H](N2[C@@H]3Cc4c(cc(O)cc4)[C@@](C)([C@@H]3C)CC2)CC)c(Cl)c1,0.25843479931354524
C1c2c(cc(OCCOC)cc2)[C@@]2(C)[C@H](C)[C@@H]1N([C@@H](c1ccc(F)cc1Cl)CC)CC2,0.32700034976005554
[C@@H]1(C)[C@@H]2N([C@@H](c3ccc(F)cc3Cl)CC)CC[C@@]1(C)c1cc(C#N)ccc1C2,0.3304736912250519
[C@@H]12Cc3c(cc(O)cc3)[C@@](C)([C@@H]1C)CCN2[C@@H](c1ccc(F)cc1)CC,0.3025740087032318
[C@H](c1c(Cl)cc(F)cc1)(CC)N1CC[C@]2(C)[C@H](C)[C@H]1Cc1ccc(OC(=O)C)cc12,0.27760512232780454
Clc1c([C@@H](CC)N2[C@@H]3Cc4ccc(N)cc4[C@@](C)([C@@H]3C)CC2)ccc(F)c1,0.5011655628681183
c1(C(=O)NCCO)cc2c(cc1)C[C@H]1N([C@H](CC)c3ccc(F)cc3Cl)CC[C@]2(C)[C@@H]1C,0.28192960619926455
C1[C@]2(C)[C@H](C)[C@H](N([C@H](CC)c3ccc(F)cc3Cl)C1)Cc1ccc(NC)cc12,0.32113102078437805
c1([C@H](N2[C@@H]3Cc4c(cc(OCC#N)cc4)[C@](C)(CC2)[C@@H]3C)CC)c(Cl)cc(F)cc1,0.23006519973278045
C(C)[C@@H](N1[C@H]2[C@@H](C)[C@](C)(c3cc(NCC#N)ccc3C2)CC1)c1c(Cl)cc(F)cc1,0.37816675901412966
[C@@H]12[C@@H](C)[C@@](C)(CCN1[C@@H](c1c(Cl)cc(F)cc1)CC)c1c(ccc(OCCO)c1)C2,0.34067646861076356
C1N([C@H](CC)c2c(Cl)cc(F)cc2)[C@H]2[C@@H](C)[C@](C)(c3cc(OCC(N)=O)ccc3C2)C1,0.30118480026721955
C(c1cc2c(cc1)C[C@@H]1[C@@H](C)[C@@]2(C)CCN1[C@@H](c1ccc(F)cc1Cl)CC)(=O)N1[C@@H](C(OC)=O)CCC1,0.3784963548183441
C1CC[C@@H](C(=O)OC)N1C(c1cc2c(cc1)C[C@@H]1[C@@H](C)[C@@]2(C)CCN1[C@@H](c1ccc(F)cc1Cl)CC)=O,0.3784963548183441
c1c(Cl)c([C@H](N2CC[C@@]3(C)c4c(ccc(OCC(=O)NO)c4)C[C@@H]2[C@H]3C)CC)ccc1F,0.47597532272338866
C([C@@H](N1CC[C@@]2(C)c3cc(NCc4ccc(OC)cc4OC)ccc3C[C@@H]1[C@H]2C)c1ccc(F)cc1Cl)C,0.44128294587135314
c1cc(NC=O)cc2c1C[C@H]1N([C@H](CC)c3ccc(F)cc3Cl)CC[C@]2(C)[C@@H]1C,0.3913450360298157
