Smile,Label
c1c2c(=O)c3c(c4[nH]c5c(c6c7c([nH]c6c6c(=O)c8c(cccc8)c(=O)c65)c5c(cc7)c(=O)c6c(cccc6)c5=O)c4cc3)c(=O)c2ccc1,0
C12CCC(OC(C)=O)(C(C)=O)C1(C)CCC1C3(C)COC(=O)C=C3C(Cl)=CC21,0
Nc1nc(N)nc(N)n1,0
[O-][N+](c1c(N=Nc2c3c(ccc2O)cccc3)ccc(C)c1)=O,1
s1nc2ccccc2c1NC(=O)CC(C)C,0
c1(C)c([N+]([O-])=O)cccc1C,1
C1C(C#C)(OC(=O)CCCCCC)C2(C)C(C3C(CC2)C2CCC(=O)C=C2CC3)C1,0
O=[N+](CCC)[O-],0
O=C(c1c2ncccc2cc([N+](=O)[O-])c1)O,1
c12c(c3cc4ccccc4c(Br)c3cc1)C=CC(O)C2O,1
n1c(NC(=O)N)[nH]c2ccccc12,1
C(C[C@@H](C)O)C(=O)c1ccoc1,0
Nc1cc2c(cc1)c1c(cccc1)o2,1
c1(C)ccc2ccc3ccc(C)cc3c2c1,1
c1ccc(-c2nc3c(nc2)c2nc(N)n(C)c2cc3C)cc1,1
N(=C(/N(CC)N=O)C=O)\O,1
c12c(NN)nnc(NN)c1cccc2,1
N(CNC(=O)C=C)C(C=C)=O,1
c1cccc2c1-c1cc(CO)cc3cccc-2c13,0
c1cc(-c2ccccc2)c(C)cc1,0
Cc1cc2c(c(O)c1)C(=O)C13C(=O)C4C(C)C5C6C(C)C(C51C2=O)C(=O)C31C(=O)c2c(O)cc(C)cc2C(=O)C641,0
Cc1nc(N)nc(N)n1,0
N(CC)c1nc(N)nc(Cl)n1,0
C1CCCC(N2C3c4ccccc4-c4c(cccc4)C32)C1,1
C(CCC)B(CCCC)CCCC,1
CC(NC(CSC(=C(Cl)Cl)Cl)C(O)=O)=O,1
[C@@H]1(C)C[C@@H]2[C@@H](CC1)[C@@H](C)CC[C@H]2C(C)C,1
C(NN=NCC)C,1
c1c([N+]([O-])=O)cccc1O,1
c12cccc3cccc(c13)-c1cc([N+](=O)[O-])ccc1-2,1
o1c(CO)ccc1,0
c1(-c2ccc(CC[C@@H]3OC3)cc2)ccccc1,1
Oc1c2c(cccc2)c2c(c3ccccc3cc2)c1,1
c1c2ccc(O)c(N=Nc3ccccc3)c2ccc1,1
C([C@H]1CC[C@H](N)CC1)[C@H]1CC[C@H](N)CC1,0
C12(C=O)C(C=O)=CC3CC(C)(C)CC3C1(C(=O)OC)C2,1
BrC(C(=O)OCC)C,1
CC12CCC3C4(C)C(CCC3C1CCC2OC1(OC)CCCC1)CC1C(C4)S1,0
c12c(nc3c(c1NCCCN(CC)CCCl)CCCC3)cccc2,1
C(/C(=C/C1=CCOC1=O)C)=C(C)\C=C\C=C(/C)C(C12OC1C(CCO)(O)NC2=O)=O,1
S([P@@](=S)(CC)OCC)c1ccccc1,0
c1(N)cc(N)ccc1[N+](=O)[O-],1
S(P(=O)(OC)OC)CCSCC,0
c1(C)c(C(O)=O)cccc1,0
O(Cc1cccc(Oc2ccccc2)c1)C(C1C(C)(C)C1C=C(C)C)=O,1
Brc1ccccc1,0
c1(S(=O)(O)=O)cc(Cl)c(C)cc1N,0
c1(O)cc2ccc(SSc3ccc4c(ccc(O)c4)c3)cc2cc1,0
c12c(c(C(NCCN(C)C)=O)ccc1)C(=O)c1ccccc1C2=O,1
c1(Cl)cc2c(N)snc2c(Cl)c1,1
C1C(Cl)(Cl)C2(C(Cl)Cl)C(CCl)(C(Cl)Cl)C1C(Cl)(Cl)C2,0
Oc1c2c(c(-c3c(O)cc(O)c4c3C(=O)c3cc(C)cc(O)c3C4=O)c(O)c1)C(=O)c1c(c(O)cc(C)c1)C2=O,0
C(Cl)OC,0
C1N(N=O)CCOC1,1
c1c(N)ccc(Oc2cccc(Oc3ccc(N)cc3)c2)c1,1
c1ccc(Nc2ccc(N)cc2)cc1,0
C(OC(=O)C(=C)C)CCCC,0
c1c(C(=O)O)cccc1,0
n1(Cc2ccc([N+]([O-])=O)cc2)c2ncnc(N)c2nc1,1
c12cccc3c1c1c(cc3)cccc1C2,1
c1cc(-c2ccccc2F)ccc1,0
c1cc(Cl)c(Cl)cc1-c1c(Cl)c(Cl)c(Cl)cc1,0
OC12C(OC=C1)Oc1cc3c(c(=O)c4c(O)ccc(CC=C(C)C)c4o3)c(O)c12,1
C1(C)c2cc3c(cc2COC1)C(C)(C)C(C)C3(C)C,0
c1(Nc2cc(Cl)nc(SCC(=O)O)n2)cccc(C)c1C,0
c1cccc2ccc(N)c(N=Nc3ccc([N+]([O-])=O)cc3)c12,1
C1(=O)c2c(c(O)c3c(c2O)CC(C(=O)CO)(O)CC3OC2CC(N)C(O)C(C)O2)C(=O)c2c1cccc2OC,1
c1cccc(Cc2ccc(O)cc2)c1O,0
O(C(CCO)C)C,0
c1c(Oc2ccc(N(C(C)=O)O)cc2)cccc1,1
c1c(OP(O)O)ccc(C(c2ccc(OP(O)O)cc2)(C)C)c1,0
C(CCCC(Cl)=O)CCC,1
c1c(NC(=O)C(Br)C(C)(C)C)cccc1,0
n1c2ccc(NCCN(CC)CC)c3c(=O)c4cc(O)ccc4n(c1C)c32,1
c1(NC(NCC)=O)sc([N+](=O)[O-])cn1,1
O(C)c1c2c(c(O)cc1)c(=O)c1c(c3c(cc1OC)O[C@@H]1OC=C[C@@H]31)o2,1
c1c(Cl)c([N+]([O-])=O)cc2c1Oc1cc(Cl)c(Cl)cc1O2,1
C(=C)(C)C(OC)=O,0
C1(=O)c2c3c(ccc2O)-c2c4c(c(O)cc2)C(=O)[C@@H]2O[C@@H]2[C@H]4[C@]3(O)C=C1,1
O(C(=O)N)C,0
c1ccc2c(c3c(NN)n[nH]c(-n4nc(C)cc4C)c-3n2)c1,0
c1c(F)cnc2ccc3cccnc3c12,1
c1ccc2c(nc(C(S)NC(NC(S)c3sc4c(cccc4)n3)=O)s2)c1,1
c1cc2c(CBr)c3ccccc3c(C)c2cc1,1
C1c2cc3cccc(N)c3nc2CCC1,1
C(OC)(=O)C=C,0
c12c(NC(C)=O)c(O)cc3c1c(ccc2)-c1c-3cccc1,1
c1cc2cc3c(c4ccc5c(c1ccc5)c42)C=CC(O)C3,1
c12c3c(cccc3c([N+](=O)[O-])cc1)-c1c-2cc(O)cc1,1
C1(O)C(O)c2c(cc3ccccc3c2[N+]([O-])=O)C=C1,0
S(O)(=O)(=O)c1cc(C)ccc1N=Nc1c2ccccc2cc(C(O)=O)c1O,0
c1(C(c2ccc(N(C)C)cc2)=C2C=CC(=NC)C=C2)ccc(N(C)C)cc1,0
C(OCN(N=O)CCCC)(=O)C,1
c1cccc2cc3c4c(c5c(cccc5)cc4c12)C1=C3CCCC1,1
ClCCN(P(N)(OCCC(=O)O)=O)CCCl,1
c1c(Cc2cc(Cl)c(N)c(O)c2)cc(Cl)c(N)c1OS(=O)(O)=O,0
C1SCCOC1,0
Cc1c(N)cccc1,1
c1cc2c(cc1)C(=O)c1c-2cccc1,0
C1C2OC2CCCCC1,0
c12ccc3ccccc3c1cc1c3c(ccc1n2)C=CCC3,1
c1(N=[N+]=[N-])cc2nc3c(cc(N=[N+]=[N-])cc3)c(Nc3ccc(NS(C)(=O)=O)cc3)c2cc1,0
c1c(CN(c2ccccn2)CCN(C)C)cccc1,0
C(=C(/C1=CC(=O)C23C(O)(C1=O)OC(C)(C)C2C3)Cl)\C,1
c1(N)nc2c(c(N)n1)nc(CN(c1ccc(C(NC(C(=O)O)CCC(=O)O)=O)cc1)C)cn2,0
c1ccccc1NCC,0
C(Sc1ccccc1N)CSc1ccccc1N,1
c1(C(=O)NO)c(O)cccc1,1
[N+](c1cccc(O)c1N)([O-])=O,0
c1(/C=C/c2ccc(C(C)(C)C)cc2)ccc(N)cc1,0
O=C(O)C[C@@H]([C@H](C(=O)O)CC(=O)O)C(O)=O,1
c1ccc2c3c1cccc3CC2,0
OCCN(CCO)c1ccc([N+](=O)[O-])c2c1nc1c(cccc1)c2NCCCN(C)C,1
C(Oc1ccc(N=O)cc1)CCC,1
Clc1c(C)cc(S(=O)(=O)O)c(N)c1,1
C1CC=C(C(=O)OC)CN1C,1
C(=O)(NC)ON,1
C(=O)(O)C=C,0
O=C(O)CC(O)=O,0
C(CCC=O)C,0
c1cc(N=O)c(-c2ccccc2)cc1,1
C1C(N(c2nccc(O)n2)C)CCN(c2n(Cc3ccc(F)cc3)c3c(n2)cccc3)C1,0
CC(C)(SC)C(NC(CS)C(=O)O)=O,0
C[n+]1ccc(-c2cc[n+](C)cc2)cc1,0
