Smile,Label
C(c1cc(CNc2cc3c(cc2)C[C@H]2N([C@@H](c4c(Cl)cc(F)cc4)CC)CC[C@]3(C)[C@@H]2C)cnc1)O,0.272442489862442
n1cc(CNc2cc3c(cc2)C[C@@H]2[C@@H](C)[C@@]3(C)CCN2[C@H](CC)c2ccc(F)cc2Cl)cc(COC)c1,0.3209310472011566
c1(F)ccc([C@@H](CC)N2[C@@H]3Cc4ccc(NCc5ncccc5COC)cc4[C@](C)(CC2)[C@@H]3C)c(Cl)c1,0.3082420229911804
C[C@@]12c3cc(NC(c4c(OC)cncc4F)=O)ccc3C[C@@H](N([C@@H](c3ccc(F)cc3Cl)CC)CC1)[C@H]2C,0.2998771369457245
[C@@H](N1CC[C@]2(C)[C@H](C)[C@H]1Cc1c2cc(NCc2c(OC)cncc2F)cc1)(CC)c1ccc(F)cc1Cl,0.27364030480384827
c1(Cl)c([C@@H](CC)N2CC[C@@]3(C)c4c(ccc(NCc5c(CO)cccn5)c4)C[C@@H]2[C@H]3C)ccc(F)c1,0.3177890181541443
c12ccc(NCc3c(COC)nccc3)cc1[C@]1(C)CCN([C@H](CC)c3ccc(F)cc3Cl)[C@H](C2)[C@H]1C,0.2952316105365753
c1c(CNc2cc3c(cc2)C[C@@H]2[C@@H](C)[C@@]3(C)CCN2[C@H](CC)c2ccc(F)cc2Cl)c(CO)ncc1,0.30738312005996704
c1(NC(c2ccc3c(c2)[C@]2(C)CCN([C@@H](c4ccc(F)cc4Cl)CC)[C@H](C3)[C@H]2C)=O)c[nH]nc1,0.23593705892562866
c1(CNc2cn[nH]c2)ccc2c(c1)[C@]1(C)CCN([C@@H](c3ccc(F)cc3Cl)CC)[C@@H]([C@H]1C)C2,0.2405063658952713
c1([C@H](N2[C@H]3[C@@H](C)[C@](C)(c4cc(C(=O)Nc5cncnc5)ccc4C3)CC2)CC)ccc(F)cc1Cl,0.19061584770679474
n1cc(NCc2ccc3c(c2)[C@@]2(C)[C@H](C)[C@H](N([C@H](CC)c4ccc(F)cc4Cl)CC2)C3)cnc1,0.29270434379577637
c1(NCc2c(Br)nccc2OC)ccc2c(c1)[C@@]1(C)[C@H](C)[C@H](N([C@@H](c3c(Cl)cc(F)cc3)CC)CC1)C2,0.28985926508903503
c1c(NCc2c(F)nccc2OC)cc2c(c1)C[C@H]1N([C@@H](c3c(Cl)cc(F)cc3)CC)CC[C@]2(C)[C@@H]1C,0.3018706440925598
C1C[C@]2(C)[C@H](C)[C@H](N1[C@H](CC)c1ccc(F)cc1Cl)Cc1c2cc(NCc2c3c(cnc2)[nH]c(=O)[nH]3)cc1,0.3213057816028595
n1c2c(CNc3ccc4c(c3)[C@]3(C)CCN([C@@H](c5c(Cl)cc(F)cc5)CC)[C@H](C4)[C@H]3C)cncc2[nH]c1,0.3754481375217438
[C@@H](CC)(c1ccc(F)cc1Cl)N1CC[C@@]2(C)c3cc(NCc4c5c(ccc4)[nH]c(N)n5)ccc3C[C@@H]1[C@H]2C,0.43977877497673035
c12c(CNc3ccc4c(c3)[C@]3(C)CCN([C@@H](c5c(Cl)cc(F)cc5)CC)[C@@H]([C@H]3C)C4)cccc1[nH]cn2,0.3337984085083008
c1([C@@H](CC)N2[C@H]3[C@@H](C)[C@](C)(c4c(ccc(NCc5c[nH]nc5C(=O)N)c4)C3)CC2)ccc(F)cc1Cl,0.2613295316696167
[C@]12(C)CCN([C@H](CC)c3c(Cl)cc(F)cc3)[C@H](Cc3ccc(NCc4c5c(ccn4)NC(=O)NC5)cc31)[C@H]2C,0.3597393333911896
[nH]1nc(C#N)c(CNc2cc3c(cc2)C[C@@H]2[C@@H](C)[C@@]3(C)CCN2[C@@H](c2ccc(F)cc2Cl)CC)c1,0.3667679727077484
c1c(F)ccc([C@H](N2CC[C@@]3(C)c4c(ccc(NCc5c(CO)n[nH]c5)c4)C[C@@H]2[C@H]3C)CC)c1Cl,0.320061594247818
c1(C(=O)OCC)n[nH]c(CNc2ccc3c(c2)[C@]2(C)CCN([C@@H](c4ccc(F)cc4Cl)CC)[C@H](C3)[C@H]2C)c1,0.25558704137802124
c1cc([C@@H](CC)N2[C@H]3[C@@H](C)[C@](C)(c4c(ccc(NCc5[nH]ncc5C(OCC)=O)c4)C3)CC2)c(Cl)cc1F,0.2130330204963684
C[C@@]12c3cc(NCc4[nH]nc5c4CNC5=O)ccc3C[C@@H](N([C@@H](c3ccc(F)cc3Cl)CC)CC1)[C@H]2C,0.3913838267326355
C([C@@H](N1CC[C@]2(C)[C@H](C)[C@H]1Cc1c2cc(NCc2c3[nH]c(=O)[nH]c3n[nH]2)cc1)c1ccc(F)cc1Cl)C,0.3073105812072754
C(c1c(C2CNC(=O)N2)n[nH]c1)Nc1ccc2c(c1)[C@@]1(C)[C@H](C)[C@@H](C2)N([C@H](CC)c2ccc(F)cc2Cl)CC1,0.2986455261707306
Clc1c([C@H](N2CC[C@]3(C)[C@H](C)[C@H]2Cc2ccc(NCc4cccc5c4CCC(=O)N5)cc23)CC)ccc(F)c1,0.29515090584754944
c12cc(NCc3c4nc(O)[nH]c4ccc3)ccc1C[C@H]1N([C@@H](c3c(Cl)cc(F)cc3)CC)CC[C@]2(C)[C@@H]1C,0.27792268991470337
c1(Cl)c([C@H](N2[C@H]3[C@@H](C)[C@@](C)(CC2)c2c(ccc(NCc4c5c([nH]c(N)n5)ccc4)c2)C3)CC)ccc(F)c1,0.3961421251296997
C1c2c(CNc3ccc4c(c3)[C@@]3(C)[C@H](C)[C@@H](C4)N([C@H](CC)c4c(Cl)cc(F)cc4)CC3)cccc2NC(=O)N1,0.3728560507297516
C(C)[C@H](c1ccc(F)cc1Cl)N1[C@H]2[C@@H](C)[C@](C)(c3c(ccc(NCc4cccc5c4cn[nH]5)c3)C2)CC1,0.3000364601612091
C[C@@]12[C@H](C)[C@@H](Cc3ccc(NCc4cccc5c4nn[nH]5)cc31)N([C@H](CC)c1c(Cl)cc(F)cc1)CC2,0.3509618639945984
c1(CNc2cc3c(cc2)C[C@@H]2[C@@H](C)[C@@]3(C)CCN2[C@@H](c2ccc(F)cc2Cl)CC)cccc2ocnc12,0.35616835951805115
c12c(CNc3cc4c(cc3)C[C@@H]3[C@@H](C)[C@@]4(C)CCN3[C@@H](c3ccc(F)cc3Cl)CC)cccc1scn2,0.42287513613700867
c1c(NCc2c3[nH]c(=O)[nH]c3ccc2)cc2c(c1)C[C@@H]1[C@@H](C)[C@@]2(C)CCN1[C@H](CC)c1c(Cl)cc(F)cc1,0.3458386957645416
o1cnc2cccc(CNc3cc4c(cc3)C[C@@H]3[C@@H](C)[C@@]4(C)CCN3[C@H](CC)c3c(Cl)cc(F)cc3)c12,0.3459482789039612
c12c(ccc(NCc3cccc4ncsc34)c1)C[C@@H]1[C@@H](C)[C@@]2(C)CCN1[C@H](CC)c1c(Cl)cc(F)cc1,0.40389326214790344
c1c(F)ccc([C@@H](CC)N2CC[C@@]3(C)c4cc(NCc5c6nc[nH]c6ccc5)ccc4C[C@@H]2[C@H]3C)c1Cl,0.4096158444881439
