Smile,Label
O=C(Cc1cc(C)c(C(=O)c2ccc(Cl)cc2)n1C)O,1.0
C(CCN(C)C)N1c2c(cccc2)Sc2c1cccc2,0.0
c12c(ccc(O)c1)CC1C(C)C2(C)CCN1CC=C(C)C,0.0
OCC(C(O)C(C(O)CO)O)O,0.0
C(OC(=O)C)C1=C(C(O)=O)N2C(SC1)C(N=C(Cc1cccs1)O)C2=O,0.0
O=C1N(C)C(=O)N=C(O)C1(c1ccccc1)CC,1.0
CC(c1c(C(=O)OCc2oc(=O)oc2C)n(Cc2ccc(-c3c(-c4n[nH]nn4)cccc3)cc2)c(CCC)n1)(C)O,0.0
C1(OC2(CCl)OC(CCl)C(O)C2O)OC(CO)C(Cl)C(O)C1O,1.0
c1c(C(CCN(CC(OC(=O)C2=C(C)NC(C)=C(C(OC)=O)C2c2cc([N+]([O-])=O)ccc2)(C)C)C)c2ccccc2)cccc1,0.0
C1=C(C(=Nc2ncccc2)O)N(C)S(=O)(=O)c2c1scc2,1.0
c1c(C2=NCC(=O)N(C)c3c2cc(Cl)cc3)c(F)ccc1,1.0
COC(=O)C1=CCCN(C)C1,0.0
c1cc(N=Nc2ccc(O)c(C(=O)O)c2)cc(C(O)=O)c1O,0.0
c1(O)ccc(C(C(=NC2C(=O)N3C(C(=O)O)=C(C=CC)CSC23)O)N)cc1,1.0
O=c1nc(O)c2nc[nH]c2n1CCC,1.0
c1c(C2OCCN(C)Cc3ccccc32)cccc1,0.0
C1=CC(=O)C=C2CCC3C4C(C)(C5(C(=O)COC(=O)C(C)C)C(OC(C6CCCCC6)O5)C4)CC(O)C3C12C,0.0
Oc1ccc(C(C(=NC2(OC)C3OCC(CSc4n(C)nnn4)=C(C(O)=O)N3C2=O)O)C(=O)O)cc1,0.0
C1CC[N+](C)(C2CC3C4C(C5(C)CC([N+]6(C)CCCCC6)C(OC(=O)C)CC5CC4)CCC3(C)C2OC(C)=O)CC1,0.0
