dbName	refName	Shape-it::Tanimoto	Shape-it::Tversky_Ref	Shape-it::Tversky_Db	overlap	refVolume	dbVolume
MOL_1	PD1-PDL1.sdf	0.273	0.41	0.45	4084	10017	9035.3
MOL_2	PD1-PDL1.sdf	0.205	0.325	0.356	3244.1	10017	9057.7
MOL_3	PD1-PDL1.sdf	0.255	0.388	0.426	3872.5	10017	9044.2
MOL_4	PD1-PDL1.sdf	0.262	0.397	0.436	3960.5	10017	9044
MOL_5	PD1-PDL1.sdf	0.219	0.344	0.377	3429.8	10017	9048.9
MOL_6	PD1-PDL1.sdf	0.232	0.36	0.394	3587.3	10017	9046.5
MOL_7	PD1-PDL1.sdf	0.191	0.306	0.337	3048.2	10017	8993.5
MOL_8	PD1-PDL1.sdf	0.314	0.457	0.5	4560.4	10017	9081.6
MOL_9	PD1-PDL1.sdf	0.274	0.41	0.453	4086.6	10017	8966.3
MOL_10	PD1-PDL1.sdf	0.269	0.406	0.444	4045.5	10017	9068.9
MOL_11	PD1-PDL1.sdf	0.196	0.33	0.326	3307.9	10017	10140
MOL_12	PD1-PDL1.sdf	0.356	0.528	0.522	5287.4	10017	10132
MOL_13	PD1-PDL1.sdf	0.269	0.426	0.422	4273.7	10017	10128
MOL_14	PD1-PDL1.sdf	0.212	0.351	0.349	3520.9	10017	10097
MOL_15	PD1-PDL1.sdf	0.248	0.398	0.397	3990.1	10017	10064
MOL_16	PD1-PDL1.sdf	0.371	0.543	0.54	5439	10017	10073
MOL_17	PD1-PDL1.sdf	0.259	0.413	0.408	4143.1	10017	10154
MOL_18	PD1-PDL1.sdf	0.294	0.457	0.452	4582	10017	10139
MOL_19	PD1-PDL1.sdf	0.241	0.39	0.386	3908.9	10017	10122
MOL_20	PD1-PDL1.sdf	0.186	0.314	0.312	3150.4	10017	10113
MOL_21	PD1-PDL1.sdf	0.208	0.353	0.337	3549.4	10017	10574
MOL_22	PD1-PDL1.sdf	0.421	0.607	0.579	6098.1	10017	10566
MOL_23	PD1-PDL1.sdf	0.191	0.329	0.313	3301	10017	10562
MOL_24	PD1-PDL1.sdf	0.427	0.613	0.584	6160.2	10017	10568
MOL_25	PD1-PDL1.sdf	0.226	0.378	0.36	3798.1	10017	10583
MOL_26	PD1-PDL1.sdf	0.167	0.293	0.279	2941.1	10017	10572
MOL_27	PD1-PDL1.sdf	0.19	0.327	0.312	3282.2	10017	10561
MOL_28	PD1-PDL1.sdf	0.28	0.448	0.427	4504.2	10017	10581
MOL_29	PD1-PDL1.sdf	0.217	0.366	0.348	3677.4	10017	10587
MOL_30	PD1-PDL1.sdf	0.179	0.311	0.296	3128.3	10017	10585
MOL_31	PD1-PDL1.sdf	0.229	0.363	0.382	3629.6	10017	9477.9
MOL_32	PD1-PDL1.sdf	0.237	0.374	0.393	3737.6	10017	9482
MOL_33	PD1-PDL1.sdf	0.197	0.321	0.337	3202.5	10017	9480
MOL_34	PD1-PDL1.sdf	0.245	0.384	0.403	3838.6	10017	9492.1
